ctx_len,mode,latency_ms,speedup
4096,dense,13.06,1.0
4096,sparse-kv,13.035,1.002
16384,dense,14.04,1.0
16384,sparse-kv,12.844,1.093
64000,dense,27.232,1.0
64000,sparse-kv,12.878,2.115
