ctx_len,mode,latency_ms,speedup
4096,dense,12.976,1.0
4096,sparse-kv,12.976,1.0
16384,dense,14.003,1.0
16384,sparse-kv,12.859,1.089
64000,dense,27.33,1.0
64000,sparse-kv,12.883,2.121
